BPID,lat,lon,NbDocks,Installed,commonName
157,51.500397,-0.193068,37,2010-07-16 09:40:00,"Wright's Lane, Kensington"
158,51.490853,-0.19617,18,2010-07-16 09:42:00,"Trebovir Road, Earl's Court"
159,51.514619,-0.137841,39,2010-07-16 09:46:00,"Great Marlborough Street, Soho"
160,51.506633,-0.131773,20,2010-07-16 09:58:00,"Waterloo Place, St. James's"
161,51.492345,-0.141334,16,2010-07-16 13:29:00,"Guildhouse Street, Victoria"
162,51.517606,-0.12132799999999999,20,2010-07-16 13:32:00,"Southampton Place, Holborn"
163,51.493184,-0.167894,27,2010-07-16 13:35:00,"Sloane Avenue, Knightsbridge"
164,51.515607,-0.183118,16,2010-07-16 13:40:00,"Cleveland Gardens, Bayswater"
165,51.517932,-0.183716,15,2010-07-16 13:46:00,"Orsett Terrace, Bayswater"
166,51.501855,-0.159237,27,2010-07-16 13:49:00,"Seville Street, Knightsbridge"
167,51.49395,-0.147624,19,2010-07-16 14:10:00,"Eccleston Place, Victoria"
168,51.500401,-0.195455,19,2010-07-16 14:10:00,"Argyll Road, Kensington"
169,51.514746,-0.165164,18,2010-07-16 14:16:00,"Porchester Place, Paddington"
170,51.527842,-0.108068,30,2010-07-16 14:23:00,"Hardwick Street, Clerkenwell"
171,51.491615,-0.186753,14,2010-07-16 14:40:00,"Collingham Gardens, Earl's Court"
172,51.491211,-0.17371499999999998,19,2010-07-16 14:45:00,"Sumner Place, South Kensington"
173,51.50486,-0.11300099999999999,15,2010-07-16 15:05:00,"Waterloo Road, South Bank"
174,51.512529,-0.115163,36,2010-07-16 15:59:00,"Strand, Strand"
176,51.517919,-0.188098,23,2010-07-16 16:26:00,"Gloucester Terrace, Bayswater"
177,51.49616,-0.140947,25,2010-07-16 16:29:00,"Ashley Place, Victoria"
178,51.489856,-0.141923,19,2010-07-16 16:32:00,"Warwick Square, Pimlico"
181,51.499412,-0.15231699999999998,21,2010-07-16 16:41:00,"Belgrave Square, Belgravia"
182,51.522029,-0.165842,18,2010-07-17 10:39:00,"Bell Street , Marylebone"
183,51.482362,-0.136123,24,2010-07-17 10:56:00,"Riverlight North, Nine Elms"
184,51.520715,-0.145211,34,2010-07-17 10:58:00,"Portland Place, Marylebone"
185,51.488057,-0.140741,14,2010-07-17 11:16:00,"Alderney Street, Pimlico"
186,51.517335,-0.17581000000000002,16,2010-07-17 11:18:00,"South Wharf Road, Paddington"
187,51.492479,-0.17843299999999998,24,2010-07-17 11:22:00,"Queen's Gate (South), South Kensington"
188,51.516517,-0.16439299999999998,18,2010-07-17 14:26:00,"Nutford Place, Marylebone"
189,51.531666,-0.109914,18,2010-07-17 14:33:00,"Claremont Square, Angel"
190,51.489975,-0.132845,21,2010-07-17 15:38:00,"Rampayne Street, Pimlico"
191,51.503117,-0.15352000000000002,28,2010-07-17 16:12:00,"Hyde Park Corner, Hyde Park"
