Station,Entry-Weekday,Entry-Saturday,Entry-Sunday,Exit-Weekday,Exit-Saturday,Exit-Sunday,Annual-e-and-e-million,Year,Entry-Weekend,Exit-Weekend,Weekend-Weekday,Latitude,Longitude,Zones,Zone,Connections
Barbican,18275.0,6146,4598,18399.0,6252,4575,10.464425,2013,5372.0,5413.5,0.22725692432495076,51.52021528,-0.097721579,1,1,"{'Circle', 'Hammersmith and City', 'Metropolitan'}"
Barbican,17136.0,6241,4267,17189.0,6432,4332,9.850562,2012,5254.0,5382.0,0.23656057472031317,51.52021528,-0.097721579,1,1,"{'Circle', 'Hammersmith and City', 'Metropolitan'}"
Barbican,16173.0,6673,3769,15812.0,6849,3576,9.228704,2011,5221.0,5212.5,0.2459657932270118,51.52021528,-0.097721579,1,1,"{'Circle', 'Hammersmith and City', 'Metropolitan'}"
Barbican,15976.0,5013,3184,15514.0,5135,3230,8.873092,2010,4098.5,4182.5,0.20821704256870585,51.52021528,-0.097721579,1,1,"{'Circle', 'Hammersmith and City', 'Metropolitan'}"
Barking,29410.0,19930,14113,28165.0,18712,13372,18.197474,2017,17021.5,16042.0,0.36478428041064226,51.53952111,0.08083161,4,4,"{'Hammersmith and City', 'C2C', 'Overground', 'District'}"
Barking,26367.0,18680,13014,23392.0,16133,11749,15.86032,2016,15847.0,13941.0,0.374470438860045,51.53952111,0.08083161,4,4,"{'Hammersmith and City', 'C2C', 'Overground', 'District'}"
Barking,26914.0,18017,11626,24573.0,15259,10385,16.055212,2015,14821.5,12822.0,0.3493406461478191,51.53952111,0.08083161,4,4,"{'Hammersmith and City', 'C2C', 'Overground', 'District'}"
Barking,25756.0,17373,11500,23987.0,15390,10599,15.592496,2014,14436.5,12994.5,0.3554435431622049,51.53952111,0.08083161,4,4,"{'Hammersmith and City', 'C2C', 'Overground', 'District'}"
Barking,24349.0,16798,11543,23894.0,15472,11178,15.224058,2013,14170.5,13325.0,0.36303201146048575,51.53952111,0.08083161,4,4,"{'Hammersmith and City', 'C2C', 'Overground', 'District'}"
Barking,23627.0,15706,11133,22558.0,14351,10341,14.514735,2012,13419.5,12346.0,0.3581003606646236,51.53952111,0.08083161,4,4,"{'Hammersmith and City', 'C2C', 'Overground', 'District'}"
